ID 	 SPEED
------	-------
0 	 53
1 	 62
3 	 51
4 	 96<---exceeded
5 	 71
7 	 64
12 	 44
11 	 37
13 	 40
14 	 76
15 	 76
23 	 80
24 	 97<---exceeded
34 	 78
37 	 57
39 	 46
43 	 74
53 	 58
55 	 56
56 	 61
57 	 88<---exceeded
59 	 70
65 	 146<---exceeded
66 	 79
69 	 141<---exceeded
71 	 141<---exceeded
94 	 72
98 	 83<---exceeded
99 	 116<---exceeded
100 	 86<---exceeded
101 	 91<---exceeded
104 	 91<---exceeded
107 	 226<---exceeded
105 	 112<---exceeded
113 	 71
120 	 65
124 	 96<---exceeded
128 	 76
140 	 77
144 	 82<---exceeded
148 	 77
152 	 76
154 	 81<---exceeded
155 	 96<---exceeded
164 	 83<---exceeded
165 	 83<---exceeded
166 	 83<---exceeded
167 	 83<---exceeded
170 	 85<---exceeded
175 	 81<---exceeded
176 	 86<---exceeded
179 	 52
181 	 158<---exceeded
180 	 158<---exceeded
185 	 46
186 	 55
191 	 52
192 	 69
193 	 99<---exceeded
194 	 104<---exceeded
198 	 53
199 	 74

-------------
-------------
SUMMARY
-------------
Total Vehicles :	62
Exceeded speed limit :	28
